mode,ship_date,ship_date_time,delivery_date,delivery_date_time,hours,ship_from,ship_from_coords,ice_customer_name,ship_to,ship_to_coords,number_of_pallets
PCL,2023-07-03,2023-07-03 8:00:00,2023-07-07,2023-07-07 8:00:00,96,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"New Braunfels, TX","[-98.1148,29.6994]",0.03
PCL,2023-07-20,2023-07-20 17:00:00,2023-07-25,2023-07-25 10:00:00,113,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Fort Wayne, IN","[-85.1436,41.0888]",0
PCL,2023-08-02,2023-08-02 15:00:00,2023-08-04,2023-08-04 11:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Tobyhanna, PA","[-75.4179, 41.1798]",0.04
PCL,2023-09-06,2023-09-06 14:00:00,2023-09-07,2023-09-07 12:00:00,22,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0.03
PCL,2023-09-08,2023-09-08 12:00:00,2023-09-13,2023-09-13 7:00:00,115,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.01
PCL,2023-09-26,2023-09-26 11:00:00,2023-09-28,2023-09-28 11:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Stuarts Draft, VA","[-79.0354,38.0188]",0.03
PCL,2023-09-22,2023-09-22 11:00:00,2023-09-25,2023-09-25 8:00:00,69,"Carol Stream, IL","[-88.1307,41.9181]",D&H Distributing Co.,"Middletown, PA","[-76.7289,40.201]",3.02
PCL,2023-08-08,2023-08-08 18:00:00,2023-08-11,2023-08-11 10:00:00,64,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Henderson, NV","[-115.0381,36.0133]",0.04
PCL,2023-08-22,2023-08-22 13:00:00,2023-08-24,2023-08-24 7:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Front Royal, VA","[-78.1838,38.926]",0.01
PCL,2023-09-15,2023-09-15 11:00:00,2023-09-19,2023-09-19 7:00:00,92,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Locust Grove, GA","[-84.1071,33.3446]",0.48
PCL,2023-09-26,2023-09-26 17:00:00,2023-09-28,2023-09-28 11:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Tobyhanna, PA","[-75.4179, 41.1798]",0.05
PCL,2023-09-19,2023-09-19 16:00:00,2023-09-20,2023-09-20 10:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Buckeye, AZ","[-112.6429,33.4314]",0.01
FTL,2023-07-12,2023-07-12 11:00:00,2023-07-14,2023-07-14 20:00:00,57,"Carol Stream, IL","[-88.1307,41.9181]",T-mobile,"Jeffersonville, IN","[-85.7026,38.3376]",5
LTL,2023-08-07,2023-08-07 15:00:00,2023-08-11,2023-08-11 7:00:00,88,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Salem, OR","[-123.0244,44.9233]",0.94
PCL,2023-10-10,2023-10-10 12:00:00,2023-10-12,2023-10-12 10:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Fontana, CA","[-117.4599,34.0968]",0.04
PCL,2023-09-14,2023-09-14 12:00:00,2023-09-18,2023-09-18 8:00:00,92,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tyler, TX","[-95.3062,32.3184]",0.02
PCL,2023-10-03,2023-10-03 14:00:00,2023-10-05,2023-10-05 9:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Palestine, TX","[-95.6471,31.7544]",0.03
LTL,2023-07-13,2023-07-13 13:00:00,2023-07-18,2023-07-18 9:00:00,116,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Fort Payne, AL","[-85.6965,34.4559]",2.98
LTL,2023-09-11,2023-09-11 14:00:00,2023-09-18,2023-09-18 9:00:00,163,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Brookshire, TX","[-95.9514,29.7824]",0.74
LTL,2023-10-09,2023-10-09 13:00:00,2023-10-12,2023-10-12 9:00:00,68,"Carol Stream, IL","[-88.1307,41.9181]",ADT - US Manual,"Langhorne, PA","[-74.9212,40.1777]",6
PCL,2023-10-24,2023-10-24 16:00:00,2023-10-26,2023-10-26 7:00:00,39,"Carol Stream, IL","[-88.1307,41.9181]",D&H Distributing Co.,"Middletown, PA","[-76.7289,40.201]",0.1
PCL,2023-07-05,2023-07-05 15:00:00,2023-07-10,2023-07-10 9:00:00,114,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Topeka, KS","[-95.6955,39.0346]",0.46
PCL,2023-09-21,2023-09-21 15:00:00,2023-09-26,2023-09-26 12:00:00,117,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Woodland, CA","[-121.75,38.6712]",0.02
PCL,2023-10-25,2023-10-25 12:00:00,2023-10-27,2023-10-27 23:00:00,59,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Tolleson, AZ","[-112.256,33.4484]",0.12
FTL,2023-09-06,2023-09-06 16:00:00,2023-09-07,2023-09-07 17:00:00,25,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Hermiston, OR","[-119.2854,45.8326]",0.55
PCL,2023-07-19,2023-07-19 13:00:00,2023-07-24,2023-07-24 8:00:00,115,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Spring Valley, IL","[-89.2038,41.3362]",0.08
PCL,2023-09-25,2023-09-25 10:00:00,2023-09-27,2023-09-27 12:00:00,50,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.05
PCL,2023-10-25,2023-10-25 18:00:00,2023-10-31,2023-10-31 21:00:00,147,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Plainview, TX","[-101.7235,34.1911]",0.11
FTL,2023-08-04,2023-08-04 10:00:00,2023-08-05,2023-08-05 18:00:00,32,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Greenwood, IN","[-86.1073,39.6019]",4.51
LTL,2023-07-11,2023-07-11 12:00:00,2023-07-14,2023-07-14 9:00:00,69,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Joliet, IL","[-88.1499,41.5188]",1.26
PCL,2023-08-02,2023-08-02 13:00:00,2023-08-04,2023-08-04 5:00:00,40,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sutherland, VA","[-77.5597, 37.1960]",0.03
PCL,2023-10-03,2023-10-03 15:00:00,2023-10-09,2023-10-09 20:00:00,149,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Chesapeake, VA","[-76.3023,36.6778]",0.22
PCL,2023-10-04,2023-10-04 9:00:00,2023-10-06,2023-10-06 9:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Dinuba, CA","[-119.3987,36.5453]",0.67
LTL,2023-10-04,2023-10-04 20:00:00,2023-10-10,2023-10-10 14:00:00,138,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Albany, OR","[-123.0965,44.6272]",0.21
PCL,2023-08-02,2023-08-02 16:00:00,2023-08-04,2023-08-04 10:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Lugoff, SC","[-80.6973,34.2113]",0.03
PCL,2023-08-24,2023-08-24 13:00:00,2023-08-25,2023-08-25 8:00:00,19,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Alachua, FL","[-82.4832,29.7779]",0.08
PCL,2023-10-12,2023-10-12 12:00:00,2023-10-16,2023-10-16 8:00:00,92,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hopkinsville, KY","[-87.4775,36.8381]",0.16
PCL,2023-10-03,2023-10-03 16:00:00,2023-10-05,2023-10-05 11:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Dallas, TX","[-96.7667,32.7935]",0.01
PCL,2023-10-18,2023-10-18 15:00:00,2023-10-20,2023-10-20 16:00:00,49,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Redlands, CA","[-117.1712,34.0512]",0.26
LTL,2023-10-06,2023-10-06 16:00:00,2023-10-16,2023-10-16 3:00:00,227,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.03
PCL,2023-07-25,2023-07-25 13:00:00,2023-07-28,2023-07-28 7:00:00,66,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Plainview, TX","[-101.7235,34.1911]",0.05
PCL,2023-08-15,2023-08-15 15:00:00,2023-08-17,2023-08-17 7:00:00,40,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sanger, TX","[-97.1678,33.3715]",0.02
PCL,2023-09-01,2023-09-01 15:00:00,2023-09-05,2023-09-05 6:00:00,87,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Amsterdam, NY","[-74.1906,42.942]",0.11
PCL,2023-10-16,2023-10-16 12:00:00,2023-10-17,2023-10-17 7:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Houston, TX","[-95.3885,29.786]",0.01
PCL,2023-07-11,2023-07-11 7:00:00,2023-07-13,2023-07-13 6:00:00,47,"Carol Stream, IL","[-88.1307,41.9181]",Charter Communications (Spectrum),"Flower Mound, TX","[-97.1146,33.0343]",0.44
PCL,2023-08-28,2023-08-28 15:00:00,2023-08-30,2023-08-30 20:00:00,53,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Hazleton, PA","[-75.9725,40.9505]",0.05
PCL,2023-07-26,2023-07-26 14:00:00,2023-07-28,2023-07-28 10:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Douglas, GA","[-82.8544,31.5065]",0.06
PCL,2023-10-25,2023-10-25 14:00:00,2023-10-26,2023-10-26 7:00:00,17,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Redlands, CA","[-117.1712,34.0512]",0.01
PCL,2023-09-08,2023-09-08 14:00:00,2023-09-12,2023-09-12 8:00:00,90,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Albany, OR","[-123.0965,44.6272]",0.03
PCL,2023-09-26,2023-09-26 13:00:00,2023-09-28,2023-09-28 11:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Van Buren, OH","[-83.6494,41.1387]",0.1
PCL,2023-09-27,2023-09-27 11:00:00,2023-09-28,2023-09-28 14:00:00,27,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Indianapolis, IN","[-86.1458,39.7771]",0.03
PCL,2023-10-06,2023-10-06 14:00:00,2023-10-09,2023-10-09 10:00:00,68,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Las Vegas, NV","[-115.2654,36.2333]",0.13
PCL,2023-08-03,2023-08-03 14:00:00,2023-08-10,2023-08-10 18:00:00,172,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Somerset, NJ","[-74.501,40.5083]",0.02
LTL,2023-10-09,2023-10-09 17:00:00,2023-10-11,2023-10-11 6:00:00,37,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Chicago, IL","[-87.6866,41.8375]",0.25
PCL,2023-08-02,2023-08-02 12:00:00,2023-08-04,2023-08-04 11:00:00,47,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Mt. Crawford, VA","[-78.9409, 38.3571]",0.01
PCL,2023-07-11,2023-07-11 19:00:00,2023-07-13,2023-07-13 8:00:00,37,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Joliet, IL","[-88.1499,41.5188]",0.02
PCL,2023-08-22,2023-08-22 17:00:00,2023-08-25,2023-08-25 8:00:00,63,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.07
LTL,2023-09-29,2023-09-29 15:00:00,2023-10-05,2023-10-05 17:00:00,146,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Fridley, MN","[-93.2595,45.0841]",0.29
PCL,2023-07-17,2023-07-17 10:00:00,2023-07-21,2023-07-21 10:00:00,96,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Grove City, OH","[-83.069,39.8654]",0.02
PCL,2023-08-09,2023-08-09 12:00:00,2023-08-10,2023-08-10 9:00:00,21,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Moreno Valley, CA","[-117.2045,33.9244]",0.07
PCL,2023-10-03,2023-10-03 11:00:00,2023-10-04,2023-10-04 7:00:00,20,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Memphis, TN","[-89.9663,35.1087]",0.33
PCL,2023-10-18,2023-10-18 9:00:00,2023-10-18,2023-10-18 10:00:00,0.9999999999,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Carol Stream, IL","[-88.1307,41.9181]",0.7
LTL,2023-07-10,2023-07-10 11:00:00,2023-07-13,2023-07-13 8:00:00,69,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",0.06
PCL,2023-08-29,2023-08-29 16:00:00,2023-08-31,2023-08-31 13:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.01
PCL,2023-08-15,2023-08-15 15:00:00,2023-08-17,2023-08-17 11:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Brooksville, FL","[-82.3903,28.5404]",0.01
PCL,2023-09-05,2023-09-05 17:00:00,2023-09-07,2023-09-07 7:00:00,38,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sanger, TX","[-97.1678,33.3715]",0.08
LTL,2023-08-03,2023-08-03 13:00:00,2023-08-09,2023-08-09 7:00:00,138,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Southaven, MS","[-89.9786,34.9514]",1.19
PCL,2023-08-02,2023-08-02 12:00:00,2023-08-04,2023-08-04 7:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sanger, TX","[-97.1678,33.3715]",0.01
PCL,2023-10-16,2023-10-16 13:00:00,2023-10-17,2023-10-17 6:00:00,17,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Tewksbury, MA","[-71.2342, 42.6106]",0.04
PCL,2023-10-19,2023-10-19 13:00:00,2023-10-20,2023-10-20 7:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Galesburg, MI","[-85.4182,42.2911]",0.09
PCL,2023-07-03,2023-07-03 10:00:00,2023-07-06,2023-07-06 19:00:00,81,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Red Bluff, CA","[-122.2413,40.1735]",0.02
LTL,2023-07-13,2023-07-13 13:00:00,2023-07-14,2023-07-14 18:00:00,29,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Woodland, CA","[-121.75,38.6712]",0.37
LTL,2023-09-07,2023-09-07 7:00:00,2023-09-11,2023-09-11 14:00:00,103,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Tracy, CA","[-121.4523,37.7269]",0.94
PCL,2023-10-03,2023-10-03 15:00:00,2023-10-04,2023-10-04 7:00:00,16,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Findlay, OH","[-83.6379,41.0469]",0.12
PCL,2023-08-11,2023-08-11 13:00:00,2023-08-17,2023-08-17 13:00:00,144,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.02
PCL,2023-10-03,2023-10-03 14:00:00,2023-10-06,2023-10-06 8:00:00,66,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Romeoville, IL","[-88.0997,41.6318]",0.06
LTL,2023-07-13,2023-07-13 11:00:00,2023-07-21,2023-07-21 9:00:00,190,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Fort Worth, TX","[-97.3474,32.7817]",0.38
PCL,2023-07-26,2023-07-26 14:00:00,2023-07-27,2023-07-27 14:00:00,24,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Mount Pleasant, IA","[-91.5452,40.9625]",0.03
PCL,2023-07-10,2023-07-10 14:00:00,2023-07-14,2023-07-14 11:00:00,93,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Brooksville, FL","[-82.3903,28.5404]",0.02
LTL,2023-10-20,2023-10-20 18:00:00,2023-10-25,2023-10-25 3:00:00,105,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Chino, CA","[-117.6654,33.9836]",4.08
PCL,2023-10-18,2023-10-18 11:00:00,2023-10-19,2023-10-19 10:00:00,23,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Chicago, IL","[-87.6866,41.8375]",0.01
PCL,2023-07-25,2023-07-25 13:00:00,2023-07-31,2023-07-31 6:00:00,137,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"St James, MO","[-91.6143, 37.9973]",0.11
LTL,2023-10-10,2023-10-10 14:00:00,2023-10-19,2023-10-19 9:00:00,211,"Carol Stream, IL","[-88.1307,41.9181]",DISH Purchasing Corporation,"Suwanee, GA","[-84.0686,34.0508]",6.6
PCL,2023-07-19,2023-07-19 15:00:00,2023-07-21,2023-07-21 9:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Palestine, TX","[-95.6471,31.7544]",0.01
PCL,2023-07-20,2023-07-20 15:00:00,2023-07-25,2023-07-25 11:00:00,116,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.03
PCL,2023-09-06,2023-09-06 18:00:00,2023-09-11,2023-09-11 8:00:00,110,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ottawa, KS","[-95.2636,38.5996]",0.04
PCL,2023-10-11,2023-10-11 11:00:00,2023-10-13,2023-10-13 9:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ottawa, KS","[-95.2636,38.5996]",0.04
PCL,2023-10-26,2023-10-26 12:00:00,null,null,#VALUE!,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Tolleson, AZ","[-112.256,33.4484]",0.03
PCL,2023-07-19,2023-07-19 14:00:00,2023-07-24,2023-07-24 12:00:00,118,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sealy, TX","[-96.163,29.7662]",0.17
PCL,2023-08-29,2023-08-29 14:00:00,2023-08-31,2023-08-31 8:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sanger, TX","[-97.1678,33.3715]",0.01
PCL,2023-08-01,2023-08-01 16:00:00,2023-08-03,2023-08-03 9:00:00,41,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Moreno Valley, CA","[-117.2045,33.9244]",0.08
PCL,2023-07-27,2023-07-27 12:00:00,2023-07-31,2023-07-31 18:00:00,102,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Somerset, NJ","[-74.501,40.5083]",0.03
PCL,2023-09-25,2023-09-25 15:00:00,2023-09-26,2023-09-26 10:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Comcast Cable Communications [Xfinity],"Mount Juliet, TN","[-86.5115,36.199]",0.01
PCL,2023-08-02,2023-08-02 12:00:00,2023-08-03,2023-08-03 9:00:00,21,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Spring Valley, IL","[-89.2038,41.3362]",0.01
PCL,2023-09-26,2023-09-26 13:00:00,2023-09-27,2023-09-27 10:00:00,21,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",12.1
PCL,2023-09-27,2023-09-27 11:00:00,2023-09-28,2023-09-28 9:00:00,22,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.1
LTL,2023-07-05,2023-07-05 12:00:00,2023-07-10,2023-07-10 8:00:00,116,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Newton, NC","[-81.2335,35.663]",0.27
LTL,2023-07-20,2023-07-20 15:00:00,2023-08-01,2023-08-01 9:00:00,282,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Perth Amboy, NJ","[-74.2724,40.5202]",1.22
PCL,2023-09-19,2023-09-19 17:00:00,2023-09-22,2023-09-22 11:00:00,66,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.06
PCL,2023-07-05,2023-07-05 8:00:00,2023-07-06,2023-07-06 10:00:00,26,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Porterville, CA","[-119.0338,36.0643]",0.05
PCL,2023-07-26,2023-07-26 11:00:00,2023-07-28,2023-07-28 7:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Plant City, FL","[-82.1201,28.014]",0.01
PCL,2023-07-26,2023-07-26 15:00:00,2023-07-28,2023-07-28 9:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Bentonville, AR","[-94.2305,36.3547]",0.03
PCL,2023-08-24,2023-08-24 17:00:00,2023-08-28,2023-08-28 11:00:00,90,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0.02
PCL,2023-08-29,2023-08-29 13:00:00,2023-08-30,2023-08-30 7:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Plainview, TX","[-101.7235,34.1911]",0.01
PCL,2023-10-10,2023-10-10 11:00:00,2023-10-11,2023-10-11 15:00:00,28,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Goodyear, AZ","[-112.3622,33.2614]",0.04
PCL,2023-10-23,2023-10-23 16:00:00,2023-10-30,2023-10-30 20:00:00,172,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Grove City, OH","[-83.069,39.8654]",0.01
LTL,2023-09-19,2023-09-19 18:00:00,2023-09-23,2023-09-23 8:00:00,86,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Carol Stream, IL","[-88.1307,41.9181]",3.67
PCL,2023-08-29,2023-08-29 11:00:00,2023-08-31,2023-08-31 7:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Marcy, NY","[-75.268,43.1373]",0.04
PCL,2023-10-25,2023-10-25 16:00:00,2023-10-26,2023-10-26 9:00:00,17,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Hopewell Junction, NY","[-73.8103,41.5805]",0.01
PCL,2023-07-19,2023-07-19 13:00:00,2023-07-24,2023-07-24 13:00:00,120,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.06
PCL,2023-10-17,2023-10-17 16:00:00,2023-10-19,2023-10-19 8:00:00,40,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Logan, NJ","[-75.3492, 39.7847]",0.03
PCL,2023-10-03,2023-10-03 11:00:00,2023-10-04,2023-10-04 11:00:00,24,"Rancho Cucamonga, CA","[-117.5667,34.1247]",AT&T Mobility LLC,"Fort Worth, TX","[-97.3474,32.7817]",0.02
PCL,2023-10-04,2023-10-04 19:00:00,2023-10-09,2023-10-09 5:00:00,106,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Seymour, IN","[-85.8911,38.9476]",0.04
PCL,2023-09-25,2023-09-25 20:00:00,2023-09-28,2023-09-28 5:00:00,57,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Charlotte, NC","[-80.8303,35.2083]",0
PCL,2023-10-25,2023-10-25 11:00:00,2023-10-27,2023-10-27 23:00:00,60,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Tolleson, AZ","[-112.256,33.4484]",0.01
PCL,2023-08-03,2023-08-03 11:00:00,2023-08-07,2023-08-07 9:00:00,94,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Mcgregor, TX","[-97.4283,31.4186]",0.07
PCL,2023-09-12,2023-09-12 12:00:00,2023-09-14,2023-09-14 10:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Frostproof, FL","[-81.5252,27.7494]",0.05
PCL,2023-08-28,2023-08-28 13:00:00,2023-08-31,2023-08-31 11:00:00,70,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Phoenix, AZ","[-112.0892,33.5722]",0.06
PCL,2023-08-01,2023-08-01 15:00:00,2023-08-07,2023-08-07 5:00:00,134,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Indianapolis, IN","[-86.1458,39.7771]",0.06
LTL,2023-10-05,2023-10-05 10:00:00,2023-10-11,2023-10-11 16:00:00,150,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Woodland, CA","[-121.75,38.6712]",0.46
PCL,2023-07-26,2023-07-26 9:00:00,2023-07-28,2023-07-28 9:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.07
PCL,2023-09-06,2023-09-06 12:00:00,2023-09-08,2023-09-08 7:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tifton, GA","[-83.5203,31.4624]",0.02
PCL,2023-07-19,2023-07-19 16:00:00,2023-07-20,2023-07-20 8:00:00,16,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Spring Valley, IL","[-89.2038,41.3362]",0.02
PCL,2023-07-10,2023-07-10 14:00:00,2023-07-14,2023-07-14 9:00:00,91,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Midway, TN","[-82.9962, 36.1766]",0.03
PCL,2023-09-15,2023-09-15 13:00:00,2023-09-18,2023-09-18 12:00:00,71,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Red Bluff, CA","[-122.2413,40.1735]",0.03
LTL,2023-10-18,2023-10-18 10:00:00,2023-10-31,2023-10-31 11:00:00,313,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Coatesville, PA","[-75.82,39.9849]",0.08
PCL,2023-09-11,2023-09-11 15:00:00,2023-09-19,2023-09-19 12:00:00,189,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0
PCL,2023-10-10,2023-10-10 12:00:00,2023-10-12,2023-10-12 8:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Hazle Township, PA","[-76.0276, 40.9568]",0.01
PCL,2023-09-19,2023-09-19 17:00:00,2023-09-20,2023-09-20 8:00:00,15,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Opelousas, LA","[-92.0816,30.5252]",0.01
LTL,2023-07-17,2023-07-17 12:00:00,2023-07-21,2023-07-21 9:00:00,93,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Ingram Micro Inc,"Fort Worth, TX","[-97.3474,32.7817]",0.99
